2026-07-25T06:46:12+0900 detect start 20260725_064609.jpg
2026-07-25T06:46:13+0900 detect exit=1 20260725_064609.jpg 
2026-07-25T06:46:15+0900 detect start 20260725_064613.jpg
2026-07-25T06:46:16+0900 detect exit=1 20260725_064613.jpg 
2026-07-25T06:46:18+0900 detect start 20260725_064616.jpg
2026-07-25T06:46:19+0900 detect exit=1 20260725_064616.jpg 
2026-07-25T06:46:22+0900 detect start 20260725_064620.jpg
2026-07-25T06:46:24+0900 detect exit=1 20260725_064620.jpg 
2026-07-25T06:46:26+0900 detect start 20260725_064624.jpg
2026-07-25T06:46:27+0900 detect exit=1 20260725_064624.jpg 
2026-07-25T06:46:30+0900 detect start 20260725_064628.jpg
2026-07-25T06:46:31+0900 detect exit=0 20260725_064628.jpg [in#0 @ 0x5555a9179510] Error opening input: Device or resource busy | Error opening input file /dev/video0. | Error opening input files: Device or resource busy
2026-07-25T06:46:31+0900 synthesis queued 20260725_064628.jpg
2026-07-25T06:46:33+0900 detect start 20260725_064631.jpg
2026-07-25T06:46:36+0900 detect exit=0 20260725_064631.jpg 
2026-07-25T06:46:36+0900 synthesis queued 20260725_064631.jpg
2026-07-25T06:46:36+0900 detect start 20260725_064634.jpg
2026-07-25T06:46:38+0900 detect exit=1 20260725_064634.jpg 
2026-07-25T06:46:41+0900 detect start 20260725_064638.jpg
2026-07-25T06:46:42+0900 detect exit=1 20260725_064638.jpg 
2026-07-25T06:46:44+0900 detect start 20260725_064642.jpg
2026-07-25T06:46:45+0900 detect exit=1 20260725_064642.jpg 
2026-07-25T06:46:47+0900 detect start 20260725_064646.jpg
2026-07-25T06:46:48+0900 detect exit=1 20260725_064646.jpg 
2026-07-25T06:46:51+0900 detect start 20260725_064649.jpg
2026-07-25T06:46:52+0900 detect exit=1 20260725_064649.jpg 
2026-07-25T06:46:56+0900 detect start 20260725_064653.jpg
2026-07-25T06:46:57+0900 detect exit=1 20260725_064653.jpg 
2026-07-25T06:46:59+0900 detect start 20260725_064657.jpg
2026-07-25T06:47:00+0900 detect exit=1 20260725_064657.jpg 
2026-07-25T06:47:03+0900 detect start 20260725_064701.jpg
2026-07-25T06:47:04+0900 detect exit=1 20260725_064701.jpg 
2026-07-25T06:47:05+0900 detect start 20260725_064704.jpg
2026-07-25T06:47:06+0900 detect exit=1 20260725_064704.jpg 
2026-07-25T06:47:09+0900 detect start 20260725_064707.jpg
2026-07-25T06:47:11+0900 detect exit=1 20260725_064707.jpg 
2026-07-25T06:47:13+0900 detect start 20260725_064711.jpg
2026-07-25T06:47:14+0900 detect exit=1 20260725_064711.jpg 
2026-07-25T06:47:17+0900 detect start 20260725_064715.jpg
2026-07-25T06:47:18+0900 detect exit=1 20260725_064715.jpg 
2026-07-25T06:47:20+0900 detect start 20260725_064719.jpg
2026-07-25T06:47:21+0900 detect exit=1 20260725_064719.jpg 
2026-07-25T06:47:24+0900 detect start 20260725_064722.jpg
2026-07-25T06:47:26+0900 detect exit=1 20260725_064722.jpg 
2026-07-25T06:47:29+0900 detect start 20260725_064726.jpg
2026-07-25T06:47:30+0900 detect exit=1 20260725_064726.jpg 
2026-07-25T06:47:32+0900 detect start 20260725_064730.jpg
2026-07-25T06:47:33+0900 detect exit=1 20260725_064730.jpg 
2026-07-25T06:47:35+0900 detect start 20260725_064733.jpg
2026-07-25T06:47:36+0900 detect exit=1 20260725_064733.jpg 
2026-07-25T06:47:38+0900 detect start 20260725_064737.jpg
2026-07-25T06:47:39+0900 detect exit=1 20260725_064737.jpg 
2026-07-25T06:47:42+0900 detect start 20260725_064740.jpg
2026-07-25T06:47:43+0900 detect exit=1 20260725_064740.jpg 
2026-07-25T06:47:46+0900 detect start 20260725_064744.jpg
